UnitID,InstitutionName,Year,CovidIndicator,GraduationRate,TotalEnrollment,AvgInStateTuition,PercentWhite,PercentWomen,RetentionRate,StudentToFacultyRatio,PercentOnlineOnly,PercentAnyFinancialAid,AvgGrantAid,PercentPellGrant,AvgPellGrant,AvgStudentLoans
203599,Lakeland Community College,2018,0,13,6865,4712,77,60,49,13,15,69,3992,52,4002,4694
203614,Collins Career Technical Center,2018,0,80,350,,97,78,100,5,0,75,5815,57,5801,7157
203678,James A. Rhodes State College,2018,0,31,4002,4085,80,64,62,14,9,79,3738,46,4061,4793
203720,Ohio Business College-Sheffield,2018,0,54,199,8820,40,82,61,8,0,100,5252,96,4933,8232
203739,Ohio Business College-Sandusky,2018,0,50,160,8820,65,84,73,8,0,100,8898,87,4681,6450
203748,Lorain County Community College,2018,0,15,10644,3696,72,61,,16,15,81,4233,52,4353,3897
203757,Lourdes University,2018,0,34,1444,21700,70,60,69,14,1,100,15531,53,4781,6866
203775,Malone University,2018,0,57,1667,29900,78,58,73,11,7,100,22707,46,4303,6449
203845,Marietta College,2018,0,56,1130,35030,71,41,73,9,0,90,28571,35,4515,8129
203881,Marion Technical College,2018,0,23,2395,4320,83,60,54,12,17,79,4011,53,4387,3702
203960,Mercy College of Ohio,2018,0,57,1511,12840,78,86,81,7,25,83,6742,34,4689,7729
203997,Methodist Theological School in Ohio,2018,0,,133,,,,,,,,,,,
204006,Miami University-Hamilton,2018,0,28,2651,5731,77,53,72,15,12,78,4106,41,4607,4914
204015,Miami University-Middletown,2018,0,28,1831,5731,73,54,69,14,15,81,4335,43,4416,4934
204024,Miami University-Oxford,2018,0,80,19934,12052,71,50,92,13,0,77,12694,12,4674,7867
204121,Moler Hollywood Beauty Academy,2018,0,70,67,,37,100,61,17,0,92,5248,92,5204,5113
204176,Mount Carmel College of Nursing,2018,0,67,1090,20461,80,90,64,9,21,93,5346,37,4568,5725
204185,University of Mount Union,2018,0,64,2309,30460,78,47,77,13,0,100,19179,36,4393,8090
204194,Mount Vernon Nazarene University,2018,0,59,2243,19222,85,63,79,10,15,99,19834,37,4246,7236
204200,Mount St. Joseph University,2018,0,53,2162,29100,66,59,72,11,1,100,18504,45,4841,8891
204255,Zane State College,2018,0,44,2275,5070,88,57,65,18,7,79,5843,50,5954,3218
204264,Muskingum University,2018,0,51,2412,27500,77,56,76,12,11,98,21554,50,4617,8656
204422,North Central State College,2018,0,18,2963,3217,87,60,56,20,7,90,4959,57,4695,2574
